City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,yudong,29.385,106.5194,61.39,75,100,4.72,CN,1680749399
338,san juan,-31.5375,-68.5364,71.74,56,39,5.3,AR,1680749400
339,sao miguel do araguaia,-13.275,-50.1628,73.96,81,63,3.02,BR,1680749400
340,iralaya,15.0,-83.2333,78.37,79,4,12.19,HN,1680749339
341,hofn,64.2539,-15.2082,41.49,78,74,4.54,IS,1680749340
342,guzelyurt,38.2772,34.3719,38.84,85,80,3.58,TR,1680749400
343,lorengau,-2.0226,147.2712,84.88,70,60,5.46,PG,1680749354
344,atambua,-9.1061,124.8925,79.92,73,100,1.36,ID,1680749400
345,sur,22.5667,59.5289,76.6,55,0,3.71,OM,1680749329
346,voskresenskoye,56.8381,45.4317,38.79,84,100,9.44,RU,1680749400
347,kokstad,-30.5472,29.4241,49.96,77,0,3.94,ZA,1680749401
348,sinnamary,5.3833,-52.95,76.42,75,75,9.73,GF,1680749401
349,buala,-8.145,159.5921,84.4,72,100,2.82,SB,1680749334
350,dutlwe,-23.9833,23.9,61.52,72,0,8.34,BW,1680749401
351,hohhot,40.8106,111.6522,37.69,75,20,4.47,CN,1680749401
352,ocala,29.1872,-82.1401,77.92,73,100,1.99,US,1680749337
353,richards bay,-28.783,32.0377,68.13,78,94,5.26,ZA,1680749332
354,lodja,-3.4833,23.4333,67.6,99,99,1.88,CD,1680749401
355,noyabrsk,63.1994,75.4507,20.05,93,100,22.28,RU,1680749401
356,acarau,-2.8856,-40.12,76.71,85,99,5.86,BR,1680749368
357,neiafu,-18.65,-173.9833,84.88,79,40,9.22,TO,1680749401
358,narok,-1.0783,35.8601,54.66,94,86,2.68,KE,1680749402
359,marsabit,2.3284,37.9899,64.6,86,95,11.45,KE,1680749402
360,portsmouth,50.799,-1.0913,51.13,97,100,14.03,GB,1680749402
361,tinqueux,49.25,3.9833,39.27,87,0,5.75,FR,1680749402
362,port hedland,-20.3167,118.5667,93.25,55,7,8.05,AU,1680749337
363,abadiania,-16.2042,-48.7069,67.12,92,12,1.34,BR,1680749403
364,hambantota,6.1241,81.1185,80.94,94,20,4.61,LK,1680749349
365,qasigiannguit,68.8193,-51.1922,-18.02,97,53,4.92,GL,1680749376
